,n_samples,training_time,epoch_time,stride
0,10,31.8,0.318,1
1,10,21.8,0.218,10
2,50,115.19999999999999,1.152,1
3,50,31.2,0.312,10
4,100,224.9,2.249,1
5,100,41.8,0.418,10
6,200,449.5,4.495,1
7,200,66.0,0.66,10
8,300,657.8,6.577999999999999,1
9,300,86.1,0.861,10
10,400,872.5,8.725,1
11,400,109.2,1.092,10
12,500,1169.5,11.695,1
13,500,132.9,1.329,10
14,600,1402.6999999999998,14.027,1
15,600,154.2,1.5419999999999998,10
16,800,1823.3,18.233,1
17,800,204.70000000000002,2.047,10
18,1000,2270.7000000000003,22.707,1
19,1000,251.5,2.515,10
20,2500,5486.099999999999,54.861,1
21,2500,662.8,6.627999999999999,10
22,5000,10814.8,108.148,1
23,5000,1319.6999999999998,13.197,10
24,7500,16800.400000000005,168.00400000000005,1
25,7500,2123.4,21.234,10
26,10000,22158.600000000002,221.586,1
27,10000,3031.4,30.314,10
